shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
RED1,17.4965552,78.3730251,1,0
RED1,17.4965502,78.3736861,2,70
RED1,17.4965472,78.3739415,3,97
RED1,17.4965517,78.3740646,4,110
RED1,17.4965673,78.3741992,5,125
RED1,17.4965892,78.3743142,6,137
RED1,17.4966245,78.3744466,7,152
RED1,17.4966589,78.3745538,8,164
RED1,17.4968942,78.3752867,9,246
RED1,17.4969395,78.375435,10,262
RED1,17.4969989,78.3756511,11,286
RED1,17.4970489,78.3758789,12,311
RED1,17.4971956,78.3767163,13,401
RED1,17.4972361,78.3769042,14,422
RED1,17.4972793,78.3770719,15,440
RED1,17.4973215,78.3772142,16,456
RED1,17.4973749,78.3773633,17,473
RED1,17.4974688,78.377586,18,498
RED1,17.4975455,78.3777509,19,518
RED1,17.4976979,78.3780589,20,555
RED1,17.498358,78.3794036,21,715
RED1,17.4986296,78.3799571,22,781
RED1,17.4987323,78.3801644,23,806
RED1,17.4988368,78.3804003,24,833
RED1,17.498911,78.3805768,25,854
RED1,17.4989999,78.3808123,26,881
RED1,17.4992128,78.3813956,27,947
RED1,17.4993164,78.3817068,28,982
RED1,17.4993734,78.3818994,29,1003
RED1,17.4994292,78.3821759,30,1033
RED1,17.4994563,78.3823985,31,1057
RED1,17.4994701,78.382608,32,1079
RED1,17.4994738,78.3827897,33,1099
RED1,17.4994662,78.3829838,34,1119
RED1,17.4994437,78.3832066,35,1143
RED1,17.4993029,78.3842182,36,1251
RED1,17.4990829,78.3858015,37,1421
RED1,17.4989209,78.3869973,38,1549
RED1,17.4987631,78.3882122,39,1679
RED1,17.4986724,78.3888678,40,1750
RED1,17.4985864,78.3895259,41,1820
RED1,17.4984873,78.3902749,42,1900
RED1,17.4984382,78.3906181,43,1937
RED1,17.4984084,78.3907955,44,1956
RED1,17.4983614,78.3909977,45,1978
RED1,17.4983071,78.3911888,46,1999
RED1,17.4982412,78.3913813,47,2021
RED1,17.4981784,78.3915344,48,2039
RED1,17.4980873,78.391736,49,2062
RED1,17.4980062,78.3918996,50,2082
RED1,17.4978861,78.3921057,51,2107
RED1,17.4971514,78.3931892,52,2248
RED1,17.497065,78.3933202,53,2265
RED1,17.4969771,78.3934651,54,2284
RED1,17.4969011,78.3936023,55,2300
RED1,17.4968229,78.3937676,56,2320
RED1,17.4967563,78.3939266,57,2338
RED1,17.4966994,78.3940742,58,2355
RED1,17.4966484,78.3942249,59,2372
RED1,17.4960501,78.3964927,60,2622
RED1,17.4959606,78.396842,61,2660
RED1,17.4958624,78.3971853,62,2698
RED1,17.4957858,78.3974194,63,2724
RED1,17.4956933,78.3976607,64,2752
RED1,17.4956157,78.3978435,65,2773
RED1,17.495253,78.3986424,66,2867
RED1,17.4941038,78.4011528,67,3162
RED1,17.4938191,78.4017765,68,3236
RED1,17.4935494,78.4023645,69,3305
RED1,17.4927395,78.4041149,70,3511
RED1,17.4916908,78.4063249,71,3773
RED1,17.4915546,78.4065953,72,3805
RED1,17.4914864,78.4067122,73,3820
RED1,17.4914,78.406841,74,3837
RED1,17.491311,78.4069594,75,3853
RED1,17.4912014,78.4070854,76,3871
RED1,17.4910852,78.4072044,77,3889
RED1,17.4907409,78.4074943,78,3938
RED1,17.4894764,78.4085104,79,4115
RED1,17.4884715,78.4093189,80,4256
RED1,17.4882831,78.4094644,81,4282
RED1,17.4881859,78.4095368,82,4295
RED1,17.4880758,78.4096148,83,4310
RED1,17.4879058,78.4097315,84,4332
RED1,17.4874675,78.4100166,85,4390
RED1,17.486275,78.4107976,86,4546
RED1,17.485941,78.4110423,87,4591
RED1,17.48569,78.4112283,88,4626
RED1,17.4852053,78.4115793,89,4691
RED1,17.4849303,78.4117785,90,4728
RED1,17.4846288,78.412002,91,4769
RED1,17.48421,78.4123193,92,4827
RED1,17.4841129,78.4123995,93,4841
RED1,17.4840381,78.4124657,94,4851
RED1,17.4839729,78.4125268,95,4861
RED1,17.4838364,78.4126586,96,4882
RED1,17.4837508,78.4127563,97,4896
RED1,17.4836211,78.4129067,98,4917
RED1,17.4833993,78.4131974,99,4957
RED1,17.4832823,78.4133725,100,4980
RED1,17.4824586,78.4147616,101,5153
RED1,17.4819715,78.4155863,102,5256
RED1,17.481866,78.4157532,103,5277
RED1,17.4817629,78.4159045,104,5297
RED1,17.4816526,78.4160533,105,5317
RED1,17.4815348,78.4161961,106,5337
RED1,17.4813844,78.4163576,107,5361
RED1,17.4806383,78.4170595,108,5472
RED1,17.4804688,78.4172225,109,5498
RED1,17.4802972,78.417403,110,5525
RED1,17.4799189,78.4178035,111,5585
RED1,17.4795742,78.4181649,112,5639
RED1,17.4793158,78.4184701,113,5682
RED1,17.4791635,78.4186554,114,5708
RED1,17.4787461,78.4192222,115,5784
RED1,17.4780028,78.4202583,116,5922
RED1,17.4775503,78.4208984,117,6006
RED1,17.4771946,78.421439,118,6076
RED1,17.4767602,78.4221009,119,6161
RED1,17.4764792,78.4225408,120,6217
RED1,17.4763193,78.4227872,121,6249
RED1,17.4761783,78.4229817,122,6275
RED1,17.4760959,78.4230876,123,6289
RED1,17.4760057,78.4231946,124,6304
RED1,17.4758556,78.4233495,125,6328
RED1,17.4757518,78.4234456,126,6343
RED1,17.4756696,78.4235197,127,6355
RED1,17.4755631,78.4236022,128,6370
RED1,17.4754308,78.4236988,129,6388
RED1,17.4752862,78.4237978,130,6407
RED1,17.4732883,78.425159,131,6672
RED1,17.4726141,78.4256244,132,6762
RED1,17.4718855,78.4261182,133,6858
RED1,17.4715428,78.4263514,134,6904
RED1,17.4708522,78.4268221,135,6995
RED1,17.470184,78.4272776,136,7084
RED1,17.4695416,78.4277416,137,7171
RED1,17.4693402,78.42788,138,7197
RED1,17.4691738,78.4279833,139,7219
RED1,17.4690615,78.4280491,140,7233
RED1,17.468922,78.428126,141,7251
RED1,17.4687345,78.4282195,142,7274
RED1,17.4674813,78.4288073,143,7426
RED1,17.4673041,78.428881,144,7448
RED1,17.4671317,78.4289442,145,7468
RED1,17.4669352,78.4290078,146,7491
RED1,17.4666929,78.4290725,147,7519
RED1,17.4664939,78.4291233,148,7541
RED1,17.4663177,78.4291611,149,7561
RED1,17.4659244,78.42926,150,7606
RED1,17.4657348,78.4293244,151,7628
RED1,17.4655392,78.4293959,152,7652
RED1,17.4650381,78.4296257,153,7712
RED1,17.4646422,78.4298176,154,7761
RED1,17.464041,78.4300928,155,7834
